fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker9.txt	3	0.403175503	0.277726841	0.688848502	2.893501039	0.066999226	1.152663934	1063	73	312.11	261.86	3.41	4.06	0.246	0	312.112018	145.98	68.13	416.3	56.24	0.385258255	6.25	74.61736761	10.66006422
Speaker9.txt	4	0.348124188	0.244191327	0.701448895	2.477237343	0.043366681	2.68954918	1064	90	312.11	258.08	3.41	4.12	0.243	0	312.111995	142.78	69.85	417.92	46.75	0.32742681	2.25	74.5370735	10.92492289
Speaker9.txt	5	0.327879692	0.235567869	0.718458246	3.272623879	0.037585139	1.728995902	1026	80	312.11	258.21	3.29	3.97	0.252	0	312.111995	140.05	64.95	415.98	49.29	0.351945734	0.25	74.45321065	10.76049967
Speaker9.txt	6	0.325664716	0.230593627	0.708070649	2.106064702	0.05084587	2.113217213	1037	99	312.11	254.16	3.32	4.08	0.245	0	312.111995	143.39	72.34	423.52	51.27	0.357556315	0.25	74.29941664	10.93341272
Speaker9.txt	7	0.329455701	0.224842738	0.682467284	2.411947525	0.026225717	1.536885246	1079	86	312.11	261.9	3.46	4.12	0.243	0	312.111995	145.69	70.08	408.36	48.77	0.33475187	2.25	74.67251402	10.59889777
Speaker9.txt	8	0.364617812	0.251391398	0.689465489	2.633146621	0.047836399	1.728995902	1028	83	312.11	262.22	3.29	3.92	0.255	0	312.112018	143.77	67.23	414.89	47.66	0.331501704	6.25	74.85298773	10.7031145
Speaker9.txt	9	0.33191711	0.209487113	0.631142858	2.063047974	0.04731611	1.921106557	1045	97	312.11	253.6	3.35	4.12	0.243	0	312.111995	138.69	67.13	416.83	43.27	0.311990771	12.25	74.19543904	10.83588182
Speaker9.txt	10	0.303820999	0.200021395	0.658352766	2.777111326	0.043613963	2.113487895	1005	94	312.11	256.96	3.22	3.91	0.256	0	312.111995	137.92	70.8	423.13	42.49	0.308077146	20.25	73.88223667	10.80748506
Speaker10.txt	1	0.189122785	0.167596421	0.886177843	3.387576553	0.012391763	0.168199148	1268	80	356.8	323.25	3.55	3.92	0.255	0	356.8	184.31	87.97	527.07	58.83	0.319190494	20.25	74.90265346	6.150949179
Speaker10.txt	2	0.20242052	0.189443938	0.93589295	4.428499168	0.012064038	0.840901446	1306	101	356.8	308.85	3.66	4.23	0.236	0	356.8	190.08	92.29	531.27	54.46	0.286510943	12.25	75.57861383	6.371139995
Speaker10.txt	3	0.234111	0.224855786	0.960466556	3.155150214	0.010656203	0.504540868	1282	59	356.8	332.74	3.59	3.85	0.26	0	356.8	191.26	94.77	529.05	54.95	0.287305239	6.25	75.47071976	6.31484811
Speaker10.txt	4	0.171626545	0.139318442	0.811753464	2.529210683	0.005582242	0.672721157	1298	16	356.8	351.47	3.64	3.69	0.271	0	356.8	191.12	94.38	525.61	50.69	0.265226036	2.25	75.28562774	6.215501564
Speaker10.txt	5	0.197708025	0.182473411	0.922943876	3.874064057	0.011287083	0.168180289	1297	117	356.8	300.86	3.64	4.31	0.232	0	356.8	190.72	94.44	527.31	48	0.251677852	0.25	75.52095281	6.326585805
Speaker10.txt	6	0.11826752	0.07369554	0.623125775	1.186871117	0.005250723	0.168180289	1265	107	356.8	301.42	3.55	4.2	0.238	0	356.8	194.32	96.35	526.86	54.55	0.28072252	0.25	74.75400008	6.040814526
Speaker10.txt	7	0.159582352	0.146977727	0.921014918	2.451221516	0.012859707	0.168180289	1290	14	356.8	351.78	3.62	3.67	0.273	0	356.8	198.67	96.22	532.76	52.45	0.264005637	2.25	75.51741003	6.344543032
Speaker10.txt	8	0.149215905	0.12938088	0.867071646	2.510549065	0.013398342	0.168180289	1234	45	356.8	339.46	3.46	3.64	0.275	0	356.8	189.74	93.29	524.49	44.9	0.236639612	6.25	75.00959549	6.220559782
Speaker10.txt	9	0.186461881	0.150716617	0.808297202	2.370737955	0.01289128	0.672721157	1344	100	356.8	308.21	3.77	4.36	0.229	0	356.8	197.83	89.31	528.85	51.5	0.260324521	12.25	75.13017159	6.038845843
Speaker10.txt	10	0.12581031	0.082572352	0.656324208	0.994198609	0.015236883	0.168199148	1324	0	356.73	356.73	3.71	3.71	0.269	0	356.726531	189.95	97.73	519.02	42.68	0.224690708	20.25	74.07713577	5.702638345
Speaker11.txt	1	0.355559802	0.281684764	0.792228937	2.776532437	0.007754226	1.716465353	1292	56	314.6	286.28	4.11	4.51	0.222	0	314.6	153.43	69.49	424.34	53.42	0.348171805	20.25	78.21924535	7.414958883
Speaker11.txt	2	0.326092737	0.241799605	0.741505645	2.693384298	0.01738551	0.190694127	1274	67	314.6	278.5	4.05	4.57	0.219	0	314.6	151.35	71.86	419.01	53.29	0.352097787	12.25	77.99098227	7.715306888
Speaker11.txt	3	0.372183101	0.291199019	0.782407956	3.516016825	0.00703482	0.762776506	1286	69	314.6	274.6	4.09	4.68	0.214	0	314.6	147.77	65.1	427.45	53.21	0.360086621	6.25	77.8410776	7.822618707
Speaker11.txt	4	0.321724631	0.30636118	0.952246584	4.851571235	0.008033749	1.71624714	1218	84	314.6	261.96	3.87	4.65	0.215	0	314.6	150.93	63.14	430.86	51.59	0.341814086	2.25	77.76818765	8.054666168
Speaker11.txt	5	0.311734333	0.280445762	0.899630655	4.640226105	0.009603957	1.525553013	1248	72	314.6	265.5	3.97	4.7	0.213	0	314.6	160.93	68.18	424.14	52.04	0.323370409	0.25	78.08287625	8.012885525
Speaker11.txt	6	0.366357024	0.301075349	0.821808588	3.970141397	0.016372968	0.762776506	1240	75	314.6	270.46	3.94	4.58	0.218	0	314.6	150.74	57.85	421.57	50.92	0.337800186	0.25	77.87264438	7.979338244
Speaker11.txt	7	0.324206181	0.287246606	0.885999782	2.304664892	0.009294757	0.381388253	1249	94	314.6	262.73	3.97	4.75	0.21	0	314.6	150.08	66.45	433.22	53.66	0.357542644	2.25	77.66932079	8.132321048
Speaker11.txt	8	0.358009304	0.302040001	0.843665227	2.540482079	0.009647626	1.71624714	1273	65	314.6	277.74	4.05	4.58	0.218	0	314.6	153.3	67.13	415.75	52.28	0.341030659	6.25	78.06005155	7.820130752
Speaker11.txt	9	0.354409981	0.277096275	0.781852346	2.981455935	0.008955807	0.57208238	1259	69	314.6	271.51	4	4.64	0.216	0	314.6	147.07	74.03	418.22	49.15	0.334194601	12.25	77.51477856	7.958628721
Speaker11.txt	10	0.325250488	0.25897994	0.796247661	2.233047398	0.010939923	1.52574698	1211	100	314.6	251.67	3.85	4.81	0.208	0	314.6	150.9	68.49	431.43	54.62	0.361961564	20.25	77.39511842	8.276965274
